,Login,Namespace,Pontuação
472,REGIS.MIKHAIL.ABEL,overabelcabral,3.5279999999999996
473,RENATO.OLIVEIRA,overnascimentodecastro,3.0182
474,RENATO.OLIVEIRA.MC,overmarciliofurtado,2.0035999999999996
475,ROBERIO.SILVA,overnascimentodecastro,2.0065
476,ROBERIO.SILVA.MC,overmarciliofurtado,2.0109
477,ROBERTO.MEDEIROS.ABEL,overabelcabral,3.0052000000000003
478,ROBERTO.MEDEIROS.PN,overpontanegra,3.0088999999999997
479,RODRIGO.CAVALCANTI.ABEL,overabelcabral,2.0061
480,RODRIGO.CAVALCANTI.PN,overpontanegra,2.0126
481,ROGERIO.JUNIOR,overmarciliofurtado,2.013
482,RacheldePapa,integradaeducativa,2.0087
483,Rafael.fonseca,stellamarisjuveve,2.5065
484,Raimundo.marques,colegiopremium,1.0007
485,RaphaelMatos10,faculdadeflamingo,3.5038
486,Raul.Bastos,overzonanorte,2.0042
487,Regianeminas,alpha,4.5178
488,Regis.Silva,overzonanorte,3.5221
489,Rejanelopes,pauloviana,2.5002
490,Renatalopes,eluneonline,1.5002
491,Rhuan.Mendes,overjoaopessoa,2.5013
492,Rodrigo.chaves,integra,4.5153
493,RodrigoLima,colegiointegral,2.5208
494,RodrigoRibeiro,integradaeducativa,5.014200000000001
495,Rodrigopereira,colegioecursodesafio,1.5013
496,Romildolima,laboratoriosromildo,2.1073000000000004
497,RomuloMG,apogeu,1.0005
498,RosileideFelix,colegioecursodesafio,3.5014
499,Rubervan.leite,physicsbatistacampos,4.0092
500,SAULO.TH.LS,overlimaesilva,3.0042999999999997
501,SAULO.TH.MF,overmarciliofurtado,2.0064
502,SEVIO.FERNANDES.PN,overpontanegra,1.5001
503,SHIRLEY.MELO.ABEL,overabelcabral,2.5728
504,SIBELA.COORD,overabelcabral,1.2931
505,SUELI.APARECIDA.ABEL,overabelcabral,1.0597
506,Sivone.Santos,overzonanorte,3.005
507,Stephanie.Brito,overabelcabral,1.0003
508,TACIANA.DOS.ABEL,overabelcabral,2.5366999999999997
509,TAINA.COSTA.ABEL,overabelcabral,2.0698999999999996
510,TAINA.OLIVEIRA,overlimaesilva,6.0109
511,THIAGO.MAGALHAES.ABEL,overabelcabral,3.0063
512,THIAGO.MENEZES,overnascimentodecastro,3.0204
513,THIAGO.MENEZES.JP,overjoaopessoa,3.0115
514,THIAGO.MENEZES.MC,overmarciliofurtado,3.0061
515,THIAGO.MENEZES.MOSSORO,overmossoro,3.0134999999999996
516,THIAGO.SILVA.MC,overmarciliofurtado,3.5069
517,Tayna.Olegario,overjoaopessoa,2.5022
518,Telletubie,casdinhosjc,2.502
519,Tereza.Meneses,overjoaopessoa,1.5001
520,Tessari,casdinhosjc,1.5002
521,Thainasampaio,eacorcovado,1.5081
522,Thais.nunes,physicsbatistacampos,1.5015
523,Thiago.Ferraz,overzonanorte,3.5056
524,TiagoCampos,alpha,3.5099
525,UBANEY.ANDRADE,overlimaesilva,4.5373
526,ULIANA.CLEMENTE,overlimaesilva,1.0311
527,ULIANA.CLEMENTE.LN,overmarciliofurtado,1.0473
528,UNIVERSO.ARNOL.ROSA,colegiouniverso,2.5059
529,UNIVERSOBARCARENA,universobarcarena,1.0894
530,Ulisses.Peixe,overzonanorte,1.0537
531,VALCLEA.BARBOSA.ABEL,overabelcabral,2.0343
532,VERONICA.COORD,overjoaopessoa,1.003
533,VICTORSILVA,nucleocriativo,1.0155
534,VINICIO.DE.ABEL,overabelcabral,1.1194
535,VIVIANE.COSTA.PN,overpontanegra,3.0029000000000003
536,VanessaNassif,alpha,4.5275
